"filename", "language", "pip requirements", "JSON", "Markdown", "Python", "Properties", "YAML", "HTML", "CSS", "XML", "JavaScript", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\user_contacts.html", "HTML", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\user_meetings.html", "HTML", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\tests.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\urls.py", "Python", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 98
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\views.py", "Python", 0, 0, 0, 462, 0, 0, 0, 0, 0, 0, 0, 0, 122, 76, 660
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\admin.py", "Python", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\apps.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\forms.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0001_initial.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0002_profile_time_end_profile_time_start_profile_timezone.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0003_auto_20221011_2057.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0004_remove_profile_time_end.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0005_auto_20221013_1018.py", "Python", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0006_auto_20221013_1106.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0007_auto_20221013_1147.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0008_alter_profile_token.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\models.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\signals.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\contacts.html", "HTML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\login.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 1, 40
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\logout.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\password_reset.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\password_reset_confirm.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\password_reset_done.html", "HTML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\profile.html", "HTML", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 0, 49
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\register.html", "HTML", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\tests.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\views.py", "Python", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"Total", "-", 55, 1, 67, 1065, 3, 23, 165, 316, 0, 0, 41, 108, 610, 295, 2749
